HOG	OG	Gene Tree Parent Clade	Candidatus_Atelocyanobacterium_thalassa_isolate_ALOHA_GCF_000025125.1_protein	Crocosphaera_subtropica_ATCC_51142_GCF_000017845.1_protein	Rippkaea_orientalis_PCC_8801_GCF_000021805.1_protein	cyanobacterium_endosymbiont_of_Braarudosphaera_bigelowii_CPSB-1_GCF_020885515.1_protein	cyanobacterium_endosymbiont_of_Epithemia_turgida_isolate_EtSB_Lake_Yunoko_ETSB_Lake_Yunoko_GCF_000829235.1_protein	cyanobacterium_endosymbiont_of_Rhopalodia_gibberula_RgSB_GCF_003574135.1_protein
N3.HOG0000000	OG0000000	n1			WP_012593802.1			
N3.HOG0000001	OG0000000	n7			WP_012594178.1			
N3.HOG0000002	OG0000000	n8			WP_015783362.1			
N3.HOG0000003	OG0000000	n16			WP_012595925.1			
N3.HOG0000004	OG0000000	n17			WP_012594684.1			
N3.HOG0000005	OG0000000	n20			WP_012595926.1			
N3.HOG0000006	OG0000000	n21			WP_012593388.1			
N3.HOG0000007	OG0000000	n23			WP_241392623.1, WP_012593410.1			
N3.HOG0000008	OG0000001	n1			WP_012596259.1			
N3.HOG0000009	OG0000001	n4			WP_041229687.1, WP_012593535.1, WP_015957298.1, WP_012596456.1, WP_012595172.1, WP_012594502.1, WP_012594446.1, WP_015957313.1, WP_012594682.1, WP_203427707.1, WP_012595481.1, WP_012597142.1, WP_241392606.1, WP_241392724.1			
N3.HOG0000010	OG0000001	n18			WP_012595241.1, WP_012596802.1, WP_012593748.1		WP_052470631.1	WP_232014520.1
N3.HOG0000011	OG0000001	n23			WP_012596139.1, WP_012596118.1			
N3.HOG0000012	OG0000002	n1			WP_012594306.1		WP_044107455.1	WP_119260188.1
N3.HOG0000013	OG0000002	n7			WP_012593393.1		WP_044107086.1	WP_119260492.1
N3.HOG0000014	OG0000002	n15			WP_012593409.1			
N3.HOG0000015	OG0000002	n16			WP_012594749.1		WP_044105586.1	WP_119259283.1
N3.HOG0000016	OG0000003	n1			WP_241392545.1			
N3.HOG0000017	OG0000003	n6			WP_012596899.1			
N3.HOG0000018	OG0000003	n7			WP_012597031.1, WP_012594345.1			
N3.HOG0000019	OG0000003	n9			WP_012595469.1, WP_012596442.1			
N3.HOG0000020	OG0000004	n1			WP_012594919.1		WP_044107682.1	WP_119260999.1
N3.HOG0000021	OG0000004	n7			WP_015785227.1			
