HOG	OG	Gene Tree Parent Clade	Candidatus_Atelocyanobacterium_thalassa_isolate_ALOHA_GCF_000025125.1_protein	Crocosphaera_subtropica_ATCC_51142_GCF_000017845.1_protein	Rippkaea_orientalis_PCC_8801_GCF_000021805.1_protein	cyanobacterium_endosymbiont_of_Braarudosphaera_bigelowii_CPSB-1_GCF_020885515.1_protein	cyanobacterium_endosymbiont_of_Epithemia_turgida_isolate_EtSB_Lake_Yunoko_ETSB_Lake_Yunoko_GCF_000829235.1_protein	cyanobacterium_endosymbiont_of_Rhopalodia_gibberula_RgSB_GCF_003574135.1_protein
N4.HOG0000000	OG0000001	n18					WP_052470631.1	WP_232014520.1
N4.HOG0000001	OG0000002	n1					WP_044107455.1	WP_119260188.1
N4.HOG0000002	OG0000002	n7					WP_044107086.1	WP_119260492.1
N4.HOG0000003	OG0000002	n16					WP_044105586.1	WP_119259283.1
N4.HOG0000004	OG0000004	n1					WP_044107682.1	WP_119260999.1
N4.HOG0000005	OG0000004	n13					WP_171816450.1	WP_172582107.1
N4.HOG0000006	OG0000005	n1					WP_044106509.1	WP_119260956.1
N4.HOG0000007	OG0000005	n7					WP_044107588.1	WP_119260937.1
N4.HOG0000008	OG0000005	n12					WP_044105651.1	WP_119259336.1
N4.HOG0000009	OG0000006	n1					WP_044106285.1	WP_119259854.1
N4.HOG0000010	OG0000006	n7					WP_195910197.1	WP_232014621.1
N4.HOG0000011	OG0000006	n12					WP_044106813.1	WP_119260741.1
N4.HOG0000012	OG0000009	n1					WP_232509908.1	WP_232014601.1
N4.HOG0000013	OG0000009	n7					WP_044107246.1	WP_119260356.1
N4.HOG0000014	OG0000009	n11					WP_044106882.1	WP_119260673.1
N4.HOG0000015	OG0000010	n2						WP_232014554.1
N4.HOG0000016	OG0000010	n6					WP_171816378.1, WP_044105555.1	WP_232014529.1
N4.HOG0000017	OG0000010	n11					WP_052470609.1, WP_044106279.1	WP_232014569.1
N4.HOG0000018	OG0000011	n1					WP_044106088.1	WP_119259714.1
N4.HOG0000019	OG0000011	n7					WP_044106087.1	WP_119259713.1
N4.HOG0000020	OG0000012	n4					WP_044105968.1	WP_119259605.1
N4.HOG0000021	OG0000012	n7					WP_044105796.1	WP_119259430.1
N4.HOG0000022	OG0000012	n11					WP_044105915.1	WP_119259554.1
N4.HOG0000023	OG0000013	n1					WP_044105701.1	WP_119259368.1
N4.HOG0000024	OG0000016	n1					WP_044106471.1	WP_119259995.1
N4.HOG0000025	OG0000016	n8					WP_171816456.1	WP_172582113.1
N4.HOG0000026	OG0000017	n3					WP_044106804.1	WP_119260749.1
N4.HOG0000027	OG0000018	n1					WP_044105505.1	WP_119260137.1
N4.HOG0000028	OG0000018	n6					WP_084220214.1	WP_119261003.1
N4.HOG0000029	OG0000019	n1					WP_044106759.1	WP_119260781.1
N4.HOG0000030	OG0000019	n6					WP_044105906.1	WP_119259544.1
N4.HOG0000031	OG0000020	n1					WP_044106868.1	WP_119260686.1
N4.HOG0000032	OG0000020	n10					WP_044106105.1	WP_119259726.1
N4.HOG0000033	OG0000021	n8					WP_232509851.1	WP_119259805.1
N4.HOG0000034	OG0000023	n1					WP_044106752.1	WP_172582091.1
N4.HOG0000035	OG0000023	n6					WP_044106195.1	WP_232014562.1
N4.HOG0000036	OG0000024	n1					WP_044106831.1	WP_119260719.1
N4.HOG0000037	OG0000024	n6					WP_044107440.1	WP_119260198.1
N4.HOG0000038	OG0000025	n1					WP_044106482.1	WP_119260007.1
N4.HOG0000039	OG0000025	n6					WP_232509920.1	WP_232014617.1
N4.HOG0000040	OG0000026	n1					WP_044106869.1	WP_119260685.1
N4.HOG0000041	OG0000026	n6					WP_044107610.1	WP_119260046.1
N4.HOG0000042	OG0000027	n3					WP_044106434.1	WP_119259976.1
N4.HOG0000043	OG0000027	n7					WP_044106355.1	WP_119259917.1
N4.HOG0000044	OG0000027	n10					WP_044105464.1	WP_119260154.1
N4.HOG0000045	OG0000029	n1					WP_044106819.1	WP_119260733.1
N4.HOG0000046	OG0000029	n6					WP_044106393.1	WP_119259947.1
N4.HOG0000047	OG0000030	n1					WP_084220174.1	WP_119259648.1
N4.HOG0000048	OG0000030	n6					WP_044106349.1	WP_119259909.1
N4.HOG0000049	OG0000031	n1					WP_044106866.1	WP_119260688.1
N4.HOG0000050	OG0000031	n5					WP_044106353.1	WP_119259913.1
N4.HOG0000051	OG0000032	n1					WP_232509865.1	WP_119260873.1
N4.HOG0000052	OG0000032	n6					WP_044106634.1	WP_119260872.1
N4.HOG0000053	OG0000033	n1					WP_044106073.1	WP_119259703.1
N4.HOG0000054	OG0000033	n6					WP_044107314.1	WP_119260305.1
N4.HOG0000055	OG0000034	n1					WP_044106690.1	WP_119260826.1
N4.HOG0000056	OG0000034	n6					WP_044107155.1	WP_119260434.1
N4.HOG0000057	OG0000035	n1					WP_171816400.1, WP_052470624.1	
N4.HOG0000058	OG0000035	n6					WP_044106970.1	WP_119260594.1
