source:/home/lalibelulalo/PIPELINES_2023/ASR_ORTHOLOGUES/Cyanobacterium_clade/pangenoma	Candidatus_Atelocyanobacterium_thalassa_isolate_ALOHA.gbff	Crocosphaera_subtropica_ATCC_51142.gbff	Rippkaea_orientalis_PCC_8801.gbff	cyanobacterium_endosymbiont_of_Braarudosphaera_bigelowii_CPSB-1.gbff	cyanobacterium_endosymbiont_of_Epithemia_turgida_isolate_EtSB_Lake_Yunoko.gbff	cyanobacterium_endosymbiont_of_Rhopalodia_gibberula_RgSB.gbff	
1_TRAP_transporter_sub...faa	ID:WP_012953431.1,	ID:WP_009546893.1,	ID:WP_012596248.1,	ID:WP_229637492.1,	-	-	
2_hypothetical_protein.faa	ID:WP_261330634.1,ID:WP_261330634.1,	-	-	ID:WP_261345097.1,ID:WP_261345097.1,	-	-	
3_bchI.faa	ID:WP_012953433.1,	ID:WP_009546697.1,	ID:WP_012593827.1,	ID:WP_229637493.1,	-	ID:WP_119259448.1,	
4_gloA.faa	ID:WP_012953434.1,	ID:WP_009547345.1,	ID:WP_012597054.1,	ID:WP_229637494.1,	ID:WP_044107090.1,	ID:WP_232014493.1,	
5_ubiE.faa	ID:WP_012953435.1,	ID:WP_024750318.1,	ID:WP_012595772.1,	ID:WP_229637495.1,	-	-	
6_DUF445_family_protei...faa	ID:WP_012953436.1,	ID:WP_009544741.1,	ID:WP_012593773.1,	ID:WP_040054432.1,	ID:WP_084220183.1,	ID:WP_119260946.1,	
7_response_regulator_t...faa	ID:WP_012953437.1,	ID:WP_009545622.1,	ID:WP_012596604.1,	ID:WP_229637496.1,	ID:WP_044106886.1,	ID:WP_119260668.1,	
8_grxD.faa	ID:WP_012953438.1,	ID:WP_009545624.1,	ID:WP_012596606.1,	ID:WP_040054430.1,	ID:WP_044106888.1,	ID:WP_119260666.1,	
9_BolA-IbaG_family_iro...faa	ID:WP_012953439.1,	ID:WP_009545625.1,	ID:WP_041229666.1,	ID:WP_040054429.1,	ID:WP_044106889.1,	ID:WP_119260665.1,	
10_hypothetical_protein.faa	ID:WP_012953440.1,	ID:WP_009545542.1,	ID:WP_241392578.1,	ID:WP_040054507.1,	ID:WP_044106063.1,	ID:WP_119259692.1,	
11_ribonuclease_catalyt...faa	ID:WP_012953441.1,	ID:WP_009547478.1,	-	ID:WP_229637497.1,	-	-	
12_1-deoxy-D-xylulose-5...faa	ID:WP_012953442.1,	ID:WP_009546877.1,	ID:WP_012595966.1,	ID:WP_229637498.1,	ID:WP_044106427.1,	ID:WP_119259974.1,	
13_hypothetical_protein.faa	ID:WP_167884948.1,	-	-	-	-	-	
14_asnS.faa	ID:WP_012953444.1,	ID:WP_009545016.1,	ID:WP_012596410.1,	ID:WP_229637499.1,	ID:WP_044106439.1,	ID:WP_119259978.1,	
15_PRC-barrel_domain-co...faa	ID:WP_012953445.1,	ID:WP_009545138.1,	ID:WP_012597286.1,	ID:WP_229637500.1,	ID:WP_044106413.1,	ID:WP_119259963.1,	
16_gap.faa	ID:WP_012953446.1,	ID:WP_009545228.1,	ID:WP_012595002.1,	ID:WP_229637501.1,	ID:WP_044105531.1,	ID:WP_119260128.1,	
17_phosphoglycerate_kin...faa	ID:WP_012953447.1,	ID:WP_009543708.1,	ID:WP_015785332.1,	ID:WP_229637502.1,	ID:WP_044106141.1,	ID:WP_119259753.1,	
18_leuS.faa	ID:WP_012953448.1,	ID:WP_009543691.1,	ID:WP_012596472.1,	ID:WP_229637503.1,	ID:WP_044105908.1,	ID:WP_119259546.1,	
19_DEAD-DEAH_box_helica...faa	ID:WP_012953449.1,	ID:WP_009544966.1,	ID:WP_012594625.1,	ID:WP_229637504.1,	ID:WP_044105595.1,	ID:WP_119259286.1,	
