"ortólogo"	"sitio"	"deleciones"	"species"
"9843_PA14_domain-containi...fna.awk1.mafft.phy"	"670:677"	"5"	"NIES-3974,PCC_6303,PCC_7716,NIES-4071,NIES-4105"
"6932_polysaccharide_deace...fna.awk1.mafft.phy"	"162:169"	"5"	"NIES-3974,PCC_6303,PCC_7716,NIES-4071,NIES-4105"
"8170_HlyD_family_efflux_t...fna.awk1.mafft.phy"	"62:69"	"5"	"NIES-3974,PCC_6303,PCC_7716,NIES-4071,NIES-4105"
"8305_kdpC.fna.awk1.mafft.phy"	"636:643"	"5"	"NIES-3974,PCC_6303,PCC_7716,NIES-4071,NIES-4105"
"9902_U32_family_peptidase.fna.awk1.mafft.phy"	"1150:1157"	"5"	"NIES-3974,PCC_6303,PCC_7716,NIES-4071,NIES-4105"
"7260_alpha-beta_hydrolase.fna.awk1.mafft.phy"	"1669:1676"	"5"	"NIES-3974,PCC_6303,PCC_7716,NIES-4071,NIES-4105"
"7538_pentapeptide_repeat-...fna.awk1.mafft.phy"	"1345:1352"	"5"	"NIES-3974,PCC_6303,PCC_7716,NIES-4071,NIES-4105"
"8189_hypothetical_protein.fna.awk1.mafft.phy"	"2237:2244"	"5"	"NIES-3974,PCC_6303,PCC_7716,NIES-4071,NIES-4105"
"9731_cas6.fna.awk1.mafft.phy"	"227:234"	"5"	"NIES-3974,PCC_6303,PCC_7716,NIES-4071,NIES-4105"
"6976_M50_family_metallope...fna.awk1.mafft.phy"	"77:84"	"5"	"NIES-3974,PCC_6303,PCC_7716,NIES-4071,NIES-4105"
"8607_pheA.fna.awk1.mafft.phy"	"571:578"	"5"	"NIES-3974,PCC_6303,PCC_7716,NIES-4071,NIES-4105"
"7122_GAF_domain-containin...fna.awk1.mafft.phy"	"1329:1336"	"4"	"PCC_6303,PCC_7716,NIES-4071,NIES-4105"
"5435_DciA_family_protein.fna.awk1.mafft.phy"	"371:378"	"4"	"NIES-3974,PCC_7716,NIES-4071,NIES-4105"
"8037_hypothetical_protein.fna.awk1.mafft.phy"	"217:224"	"4"	"PCC_6303,PCC_7716,NIES-4071,NIES-4105"
"7144_hypothetical_protein.fna.awk1.mafft.phy"	"276:283"	"4"	"NIES-3974,PCC_7716,NIES-4071,NIES-4105"
