source:/home/lalibelulalo/PIPELINES_2023/ASR_ORTHOLOGUES/Callothrix_clade/pangenoma	Calothrix_sp_336-3_336-3.gbff	Calothrix_sp_NIES-3974_NIES-3974.gbff	Calothrix_sp_NIES-4071_NIES-4071.gbff	Calothrix_sp_NIES-4105_NIES-4105.gbff	Calothrix_sp_PCC_6303_PCC_6303.gbff	Calothrix_sp_PCC_7716_PCC_7716.gbff	
1_hypothetical_protein.faa	ID:WP_144416131.1,	-	-	-	-	-	
2_hypothetical_protein.faa	ID:WP_035159817.1,	-	-	-	-	-	
3_HNH_endonuclease.faa	ID:WP_082127474.1,	-	-	-	-	-	
4_class_I_SAM-dependen...faa	ID:WP_035159820.1,	-	ID:WP_096695071.1,	ID:WP_096695071.1,	-	-	
5_hypothetical_protein.faa	ID:WP_035159821.1,	-	-	-	-	-	
6_tyrosine-type_recomb...faa	ID:WP_035159822.1,	-	ID:WP_096694932.1,ID:WP_096694933.1,ID:WP_096694934.1,	ID:WP_096694932.1,ID:WP_096694933.1,ID:WP_096694934.1,	ID:WP_015201116.1,	ID:WP_224174262.1,	
7_hypothetical_protein.faa	ID:WP_052754563.1,	-	-	-	-	-	
8_IS4_family_transposa...faa	ID:WP_035152048.1,ID:WP_035152048.1,ID:WP_035152048.1,ID:WP_035152048.1,ID:WP_035152048.1,ID:WP_035152048.1,ID:WP_035152048.1,ID:WP_035152048.1,ID:WP_035152048.1,	-	-	-	ID:WP_015196210.1,ID:WP_015196210.1,	-	
9_hypothetical_protein.faa	ID:WP_052754564.1,	-	-	-	-	-	
10_hypothetical_protein.faa	ID:WP_035159824.1,	-	-	-	-	-	
11_hypothetical_protein.faa	ID:WP_035159825.1,	-	-	-	-	-	
12_S8_family_serine_pep...faa	ID:WP_035159826.1,	-	-	-	-	-	
13_BMP_family_protein.faa	ID:WP_035159827.1,	-	ID:WP_096692540.1,	ID:WP_096692540.1,	ID:WP_015195933.1,	ID:WP_224176761.1,	
14_ABC_transporter_ATP-...faa	ID:WP_035159828.1,	-	ID:WP_096692541.1,	ID:WP_096692541.1,	ID:WP_015195932.1,	ID:WP_224179726.1,	
15_ABC_transporter_perm...faa	ID:WP_046815071.1,	-	ID:WP_096692542.1,	ID:WP_096692542.1,	ID:WP_015195929.1,	ID:WP_223989592.1,	
16_ABC_transporter_perm...faa	ID:WP_035159830.1,	-	ID:WP_096692543.1,	ID:WP_096692543.1,	ID:WP_015195925.1,	ID:WP_224176759.1,	
17_hypothetical_protein.faa	ID:WP_144416132.1,	-	-	-	-	-	
19_IS701_family_transpo...faa	ID:WP_035155395.1,ID:WP_035151761.1,ID:WP_035155395.1,ID:WP_035155395.1,ID:WP_035155395.1,ID:WP_035155395.1,	-	-	-	-	ID:WP_224178214.1,	
20_NACHT_domain-contain...faa	ID:WP_238178551.1,	-	-	-	-	-	
21_IS1_family_transposa...faa	ID:WP_144415958.1,ID:WP_144415958.1,ID:WP_144415958.1,ID:WP_144415958.1,ID:WP_144415972.1,ID:WP_144415958.1,ID:WP_144415958.1,	-	-	-	-	-	
22_hypothetical_protein.faa	ID:WP_035159835.1,	-	-	-	-	-	
23_hypothetical_protein.faa	ID:WP_035159836.1,	-	ID:WP_096687270.1,	ID:WP_096687270.1,	-	ID:WP_073618492.1,	
24_MarR_family_transcri...faa	ID:WP_035159837.1,	-	-	-	-	ID:WP_224174250.1,	
25_AAA_family_ATPase.faa	ID:WP_082127475.1,	-	-	-	-	-	
27_hypothetical_protein.faa	ID:WP_035159839.1,	-	-	-	-	-	
29_glutathione_S-transf...faa	ID:WP_035159842.1,	-	ID:WP_096687046.1,	ID:WP_096687046.1,	-	ID:WP_224178598.1,	
30_alpha-ketoglutarate-...faa	ID:WP_052754565.1,	-	-	-	-	-	
31_hypothetical_protein.faa	ID:WP_035159843.1,	-	-	-	-	-	
32_helix-turn-helix_dom...faa	ID:WP_035159846.1,	-	ID:WP_096694914.1,ID:WP_096694942.1,	ID:WP_096694914.1,ID:WP_096694942.1,	-	ID:WP_224177877.1,	
33_hypothetical_protein.faa	ID:WP_052754566.1,	-	-	-	-	-	
34_hypothetical_protein.faa	ID:WP_052754567.1,	-	-	-	-	-	
35_hypothetical_protein.faa	ID:WP_052754568.1,	-	-	-	-	-	
36_hypothetical_protein.faa	ID:WP_238178552.1,	-	-	-	-	-	
37_GMC_oxidoreductase.faa	ID:WP_035159848.1,	-	ID:WP_096694997.1,	ID:WP_096694997.1,	-	-	
38_hypothetical_protein.faa	ID:WP_144416134.1,	-	-	-	-	-	
39_glutathione_S-transf...faa	ID:WP_082127476.1,	-	-	-	ID:WP_015199281.1,	ID:WP_224174302.1,	
40_hypothetical_protein.faa	ID:WP_168163543.1,	-	-	-	-	-	
41_ParB-RepB-Spo0J_fami...faa	ID:WP_238178553.1,	-	ID:WP_096684735.1,	ID:WP_096684735.1,	-	ID:WP_224175588.1,	
42_ParA_family_protein.faa	ID:WP_035159851.1,	-	ID:WP_096683759.1,ID:WP_096684733.1,	ID:WP_096683759.1,ID:WP_096684733.1,	ID:WP_015173953.1,	ID:WP_224175589.1,	
43_ISAzo13_family_trans...faa	ID:WP_082127446.1,ID:WP_082127446.1,ID:WP_082127446.1,ID:WP_082127446.1,ID:WP_082127446.1,ID:WP_082127446.1,ID:WP_082127446.1,	-	-	-	ID:WP_085953333.1,ID:WP_085953333.1,ID:WP_085953333.1,ID:WP_085953333.1,	-	
44_hypothetical_protein.faa	ID:WP_144416135.1,	-	-	-	-	-	
45_tyrosine-type_recomb...faa	ID:WP_082127477.1,	-	-	-	-	-	
46_transposase.faa	ID:WP_256388871.1,	-	-	-	-	-	
47_hypothetical_protein.faa	ID:WP_238178555.1,	-	-	-	-	-	
48_ParA_family_protein.faa	ID:WP_035159860.1,	-	-	-	-	-	
49_type_IV_secretion_sy...faa	ID:WP_046815075.1,	-	-	-	-	-	
