source:/home/lalibelulalo/PIPELINES_2023/ASR_ORTHOLOGUES/Geminocystis_clade/pangenoma	Chamaesiphon_minutus_PCC_6605_GCF_000317145.1_genomic.gbff	Chondrocystis_sp_NIES-4102_GCF_002368355.1_genomic.gbff	Cyanobacterium_aponinum_PCC_10605_GCF_000317675.1_genomic.gbff	Dactylococcopsis_salina_PCC_8305_GCF_000317615.1_genomic.gbff	Euhalothece_natronophila_Z-M001_GCF_007904085.1_genomic.gbff	Geminocystis_herdmanii_PCC_6308_GCF_000332235.1_genomic.gbff	Geminocystis_sp_NIES-3708_GCF_001548095.1_genomic.gbff	Geminocystis_sp_NIES-3709_GCF_001548115.1_genomic.gbff	Halothece_sp_PCC_7418_GCF_000317635.1_genomic.gbff	Stanieria_cyanosphaera_PCC_7437_GCF_000317575.1_genomic.gbff	Stanieria_sp_NIES-3757_GCF_002355455.1_genomic.gbff	
4_hypothetical_protein.faa	ID:WP_015157508.1,	-	-	-	-	-	-	-	-	-	-	
5_TOBE-like_domain-con...faa	ID:WP_015157509.1,ID:WP_015157570.1,	ID:WP_096718235.1,	-	-	-	ID:WP_017296469.1,	ID:WP_066347327.1,	ID:WP_066121566.1,	-	ID:WP_015192854.1,ID:WP_015194444.1,	ID:WP_096384738.1,ID:WP_096385335.1,	
7_hypothetical_protein.faa	ID:WP_015157511.1,	-	-	-	-	-	-	-	-	-	-	
8_cysW.faa	ID:WP_015157512.1,	ID:WP_096718237.1,	-	-	-	ID:WP_017296468.1,	ID:WP_066347329.1,	ID:WP_066121564.1,	-	ID:WP_015194443.1,	ID:WP_096385337.1,	
9_cysT.faa	ID:WP_015157513.1,	ID:WP_096718239.1,	-	-	-	ID:WP_017296467.1,	ID:WP_066347331.1,	ID:WP_082713033.1,	-	ID:WP_015194442.1,	ID:WP_096385338.1,	
12_NIL_domain-containin...faa	ID:WP_015157516.1,	ID:WP_096721586.1,ID:WP_096723816.1,	-	-	-	ID:WP_017296466.1,	ID:WP_066347333.1,	ID:WP_066121562.1,	-	ID:WP_015193875.1,	ID:WP_096384851.1,	
13_cysE.faa	ID:WP_232432152.1,	-	-	-	-	-	-	-	-	-	-	
15_PAS_domain-containin...faa	ID:WP_015157519.1,	-	-	-	-	-	-	-	-	-	-	
18_serine-threonine_pro...faa	ID:WP_015157522.1,	-	-	-	-	-	-	-	-	-	-	
19_hypothetical_protein.faa	ID:WP_015157523.1,	-	-	-	-	-	-	-	-	-	-	
20_hypothetical_protein.faa	ID:WP_015157524.1,	-	-	-	-	-	-	-	-	-	-	
21_hypothetical_protein.faa	ID:WP_015157525.1,	-	-	-	-	-	-	-	-	-	-	
23_ATP-binding_protein.faa	ID:WP_015157527.1,	-	-	-	-	-	-	-	-	-	-	
24_response_regulator.faa	ID:WP_015157528.1,	-	-	-	-	-	-	-	-	-	-	
27_hypothetical_protein.faa	ID:WP_015157531.1,	-	-	-	-	-	-	-	-	-	-	
28_hypothetical_protein.faa	ID:WP_198288412.1,ID:WP_015159032.1,	-	-	-	-	-	-	-	-	-	-	
30_hypothetical_protein.faa	ID:WP_015157534.1,	-	-	-	-	-	-	-	-	-	-	
34_EndoU_domain-contain...faa	ID:WP_015157539.1,	-	-	-	-	-	-	-	-	-	-	
35_hypothetical_protein.faa	ID:WP_015157540.1,	-	-	-	-	-	-	-	-	-	-	
37_hypothetical_protein.faa	ID:WP_015157543.1,	-	-	-	-	-	-	-	-	-	-	
38_mucoidy_inhibitor_Mu...faa	ID:WP_015157544.1,	-	-	-	-	-	-	-	-	-	-	
39_GAF_domain-containin...faa	ID:WP_015157545.1,	-	-	-	-	-	-	-	-	-	-	
40_hypothetical_protein.faa	ID:WP_015157546.1,	ID:WP_096722342.1,	-	-	-	-	-	-	-	ID:WP_015192229.1,	ID:WP_096384995.1,	
41_class_I_SAM-dependen...faa	ID:WP_015157547.1,	-	-	-	-	-	-	-	-	-	-	
43_DDE-type_integrase-t...faa	ID:WP_015157549.1,ID:WP_015158999.1,ID:WP_015157549.1,ID:WP_015157549.1,	-	-	-	-	-	-	-	-	-	ID:WP_096384655.1,	
44_ATP-binding_protein.faa	ID:WP_015157550.1,ID:WP_015158998.1,ID:WP_015157550.1,ID:WP_015157550.1,	-	-	-	-	-	-	-	-	-	-	
48_hypothetical_protein.faa	ID:WP_015157554.1,	-	-	-	-	-	-	-	-	ID:WP_015193943.1,	ID:WP_096384415.1,	
49_DUF2809_domain-conta...faa	ID:WP_015157555.1,	-	-	-	-	-	-	-	-	-	ID:WP_096379634.1,	
53_tetratricopeptide_re...faa	ID:WP_015157559.1,ID:WP_015160334.1,ID:WP_015160570.1,ID:WP_015160593.1,ID:WP_015160594.1,ID:WP_232432113.1,ID:WP_015161428.1,ID:WP_015162513.1,	ID:WP_096717577.1,	-	-	-	ID:WP_017295451.1,	-	-	-	-	-	
54_hypothetical_protein.faa	ID:WP_015157560.1,	-	-	-	-	-	-	-	-	-	-	
55_SH3_domain-containin...faa	ID:WP_015157561.1,	-	-	-	-	-	-	-	-	-	-	
57_LysR_family_transcri...faa	ID:WP_015157563.1,ID:WP_015159408.1,	ID:WP_096719332.1,	ID:WP_015220183.1,	-	-	-	ID:WP_066343441.1,	ID:WP_066115552.1,	-	ID:WP_015195670.1,	-	
59_response_regulator_t...faa	ID:WP_015157565.1,ID:WP_015159132.1,ID:WP_015328756.1,ID:WP_015329076.1,	ID:WP_096724182.1,ID:WP_096724445.1,	ID:WP_015219002.1,	-	-	ID:WP_017293466.1,	ID:WP_066347970.1,	ID:WP_066117836.1,	ID:WP_015225764.1,	ID:WP_015211873.1,ID:WP_015212124.1,ID:WP_015212136.1,ID:WP_041620670.1,	ID:WP_096384187.1,	
64_beta-ketoacyl-ACP_sy...faa	ID:WP_015157571.1,	-	-	-	-	-	-	-	-	-	-	
65_glycosyltransferase.faa	ID:WP_015157572.1,	-	ID:WP_015220829.1,	-	-	ID:WP_017293992.1,	-	ID:WP_071828003.1,	-	-	-	
66_hypothetical_protein.faa	ID:WP_015157573.1,	-	-	-	-	-	-	-	-	-	-	
68_MBL_fold_metallo-hyd...faa	ID:WP_015157575.1,	-	-	-	-	-	-	-	-	-	-	
69_adenylate-forming_en...faa	ID:WP_015157577.1,	-	-	-	-	-	-	-	-	-	-	
70_AAA_family_ATPase.faa	ID:WP_015157578.1,	-	-	-	-	-	-	-	-	-	-	
71_RNA_2--phosphotransf...faa	ID:WP_015157579.1,	-	ID:WP_015219955.1,	-	-	-	ID:WP_066345482.1,	-	-	ID:WP_015193736.1,	ID:WP_096384575.1,	
72_L-D-transpeptidase_f...faa	ID:WP_015157580.1,	-	-	-	-	-	-	-	-	-	-	
75_hypothetical_protein.faa	ID:WP_015157583.1,	-	-	-	-	-	-	-	-	-	-	
81_phytochelatin_syntha...faa	ID:WP_015157589.1,	-	-	-	-	-	-	-	-	-	-	
85_serine-threonine-pro...faa	ID:WP_015157593.1,	-	-	-	-	-	-	-	-	-	-	
86_ParB_N-terminal_doma...faa	ID:WP_015157594.1,	-	-	-	-	-	-	-	-	-	-	
87_AAA_family_ATPase.faa	ID:WP_015157595.1,	-	-	-	-	-	-	-	-	-	-	
90_response_regulator.faa	ID:WP_015157598.1,	-	-	-	-	-	-	-	-	-	-	
93_VOC_family_protein.faa	ID:WP_015157601.1,	ID:WP_096719999.1,	-	ID:WP_015228363.1,	-	-	-	-	ID:WP_015226706.1,	-	-	
94_hypothetical_protein.faa	ID:WP_157259685.1,	-	-	-	-	-	-	-	-	-	-	
95_hypothetical_protein.faa	ID:WP_015157602.1,	-	-	-	-	-	-	-	-	-	-	
96_hypothetical_protein.faa	ID:WP_157259687.1,	-	-	-	-	-	-	-	-	-	-	
97_TetR-AcrR_family_tra...faa	ID:WP_015157603.1,ID:WP_015159233.1,	-	-	-	-	-	-	-	-	-	-	
98_efflux_RND_transport...faa	ID:WP_232432153.1,	-	-	-	-	-	-	-	-	-	-	
99_ABC_transporter_perm...faa	ID:WP_015157605.1,	-	-	-	-	-	-	-	-	-	-	
100_hypothetical_protein.faa	ID:WP_015157606.1,	-	-	-	-	-	-	-	-	-	-	
101_hypothetical_protein.faa	ID:WP_015157607.1,	-	-	-	-	-	-	-	-	-	-	
